product_id,product_name,category,brand,volume_ml,launch_date,active_flag
PROD0068,Rosa Lipstick,Makeup,Rosa Premium,75,2026-04-05,True
PROD0069,Rosa Conditioner,Haircare,Rosa Organics,50,2021-09-11,True
PROD0070,Rosa Eau de Parfum,Fragrance,Rosa Premium,75,2024-12-13,True
PROD0071,Rosa Hair Mask,Haircare,Rosa Luxe,100,2025-07-26,True
PROD0072,Rosa Mascara,Makeup,Rosa Luxe,100,2021-11-22,True
PROD0073,Rosa Blush,Makeup,Rosa Luxe,50,2023-11-13,True
PROD0074,Rosa Repair Shampoo,Haircare,Rosa Luxe,100,2025-12-25,True
PROD0075,Rosa Blush,Makeup,Rosa Organics,100,2022-11-15,True
PROD0076,Rosa Hair Oil,Haircare,Rosa Premium,100,2024-08-09,False
PROD0077,Rosa Hair Oil,Haircare,Rosa Luxe,150,2025-03-31,True
PROD0078,Rosa Eau de Parfum,Fragrance,Rosa Essentials,50,2021-10-29,True
PROD0079,Rosa Hair Oil,Haircare,Rosa Luxe,30,2024-03-16,False
PROD0080,Rosa Lipstick,Makeup,Rosa Organics,50,2025-09-24,True
PROD0081,Rosa Eau de Parfum,Fragrance,Rosa Organics,30,2023-06-01,False
PROD0082,Rosa Eau de Parfum,Fragrance,Rosa Premium,200,2026-04-06,False
PROD0083,Rosa Lipstick,Makeup,Rosa Luxe,100,2024-02-26,False
PROD0084,Rosa Eau de Parfum,Fragrance,Rosa Luxe,50,2025-01-31,True
PROD0085,Rosa Repair Shampoo,Haircare,Rosa Organics,200,2025-02-12,True
PROD0086,Rosa Lipstick,Makeup,Rosa Essentials,50,2024-12-14,False
PROD0087,Rosa Eau de Parfum,Fragrance,Rosa Organics,50,2022-11-06,True
PROD0088,Rosa Eau de Toilette,Fragrance,Rosa Essentials,150,2023-10-03,True
PROD0089,Rosa Eau de Toilette,Fragrance,Rosa Premium,100,2026-01-03,True
PROD0090,Rosa Mascara,Makeup,Rosa Essentials,100,2025-10-07,True
PROD0091,Rosa Mascara,Makeup,Rosa Essentials,30,2022-10-16,True
PROD0092,Rosa Blush,Makeup,Rosa Essentials,50,2025-07-15,True
PROD0093,Rosa Eau de Parfum,Fragrance,Rosa Essentials,30,2025-05-04,False
PROD0094,Rosa Mascara,Makeup,Rosa Organics,50,2023-02-28,True
PROD0095,Rosa Eau de Toilette,Fragrance,Rosa Organics,150,2025-05-20,True
PROD0096,Rosa Eau de Parfum,Fragrance,Rosa Luxe,50,2022-09-19,True
PROD0097,Rosa Hair Mask,Haircare,Rosa Essentials,200,2024-05-24,True
PROD0098,Rosa Anti-Aging Serum,Skincare,Rosa Essentials,50,2025-04-19,True
PROD0099,Rosa Night Cream,Skincare,Rosa Essentials,75,2024-02-18,True
PROD0100,Rosa Repair Shampoo,Haircare,Rosa Organics,200,2023-08-04,True
